ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2018-02-22,1361105.677308865,1476269.7739743188,1641812.1019421066,1361105.677308865,1361105.677308865,196269.0371743038,196269.0371743038,196269.0371743038,82070.98430815588,82070.98430815588,82070.98430815588,114198.05286614789,114198.05286614789,114198.05286614789,0.0,0.0,0.0,1557374.7144831687,1470458.320809122
2018-02-23,1361354.2993430232,1451727.1999550161,1610590.5172248469,1361354.2993430232,1361354.2993430232,167960.13476978202,167960.13476978202,167960.13476978202,53121.08757272392,53121.08757272392,53121.08757272392,114839.04719705811,114839.04719705811,114839.04719705811,0.0,0.0,0.0,1529314.4341128052,1472073.4647224697
2018-02-24,1361602.9213771813,1259557.3138399667,1411059.8309212779,1361602.9213771813,1361602.9213771813,-23742.175360469035,-23742.175360469035,-23742.175360469035,-138825.7819066415,-138825.7819066415,-138825.7819066415,115083.60654617245,115083.60654617245,115083.60654617245,0.0,0.0,0.0,1337860.7460167122,1473479.0610622054
2018-02-25,1361851.5434113392,1177742.0166965115,1331498.665484506,1361851.5434113392,1361851.5434113392,-110060.97007917157,-110060.97007917157,-110060.97007917157,-224962.3025382561,-224962.3025382561,-224962.3025382561,114901.33245908454,114901.33245908454,114901.33245908454,0.0,0.0,0.0,1251790.5733321677,1474610.4315441826
2018-02-26,1362100.1654454973,1443692.4923364446,1597727.0461996072,1362100.1654454973,1362100.1654454973,163345.73572602158,163345.73572602158,163345.73572602158,49070.5999161177,49070.5999161177,49070.5999161177,114275.13580990389,114275.13580990389,114275.13580990389,0.0,0.0,0.0,1525445.901171519,1475413.5605726207
2018-02-27,1362348.7874796554,1481182.0424440294,1648097.1283348205,1362348.7874796554,1362348.7874796554,201903.0929158022,201903.0929158022,201903.0929158022,88702.12415669562,88702.12415669562,88702.12415669562,113200.96875910657,113200.96875910657,113200.96875910657,0.0,0.0,0.0,1564251.8803954576,1475846.1089144482
2018-02-28,1362597.4095138134,1486771.1455284252,1642847.1466437818,1362597.4095138134,1362597.4095138134,202510.43917474063,202510.43917474063,202510.43917474063,90823.28849115464,90823.28849115464,90823.28849115464,111687.15068358598,111687.15068358598,111687.15068358598,0.0,0.0,0.0,1565107.848688554,1475878.0140286263
2018-03-01,1362846.0315479713,1478765.5691003106,1641097.2254188226,1362846.0315479713,1362846.0315479713,191824.3082433215,191824.3082433215,191824.3082433215,82070.98430792599,82070.98430792599,82070.98430792599,109753.32393539544,109753.32393539544,109753.32393539544,0.0,0.0,0.0,1554670.3397912928,1475491.6747869295
2018-03-02,1363094.6535821296,1445090.6402364685,1601262.8568539063,1363094.6535821296,1363094.6535821296,160550.17315006605,160550.17315006605,160550.17315006605,53121.08757286681,53121.08757286681,53121.08757286681,107429.08557719924,107429.08557719924,107429.08557719924,0.0,0.0,0.0,1523644.8267321957,1474681.730875414
2018-03-03,1363343.2756162875,1254672.3498119807,1405602.6814389403,1363343.2756162875,1363343.2756162875,-34073.43198593517,-34073.43198593517,-34073.43198593517,-138825.78190654528,-138825.78190654528,-138825.78190654528,104752.34992061014,104752.34992061014,104752.34992061014,0.0,0.0,0.0,1329269.8436303523,1473454.4591059342
2018-03-04,1363591.8976504456,1163951.9526669385,1317987.014182336,1363591.8976504456,1363591.8976504456,-123194.79900687575,-123194.79900687575,-123194.79900687575,-224962.30253818986,-224962.30253818986,-224962.30253818986,101767.50353131407,101767.50353131407,101767.50353131407,0.0,0.0,0.0,1240397.0986435697,1471826.8198647057
2018-03-05,1363840.5196846037,1428884.3913845376,1594324.384667658,1363840.5196846037,1363840.5196846037,147594.01911213703,147594.01911213703,147594.01911213703,49070.59991628509,49070.59991628509,49070.59991628509,98523.41919585195,98523.41919585195,98523.41919585195,0.0,0.0,0.0,1511434.5387967406,1469825.196668309
